Trajectory_Lateral,Safe_Top1,Safe_TopK,MONA_safe,Match_Top1,Match_TopK,file
follow_lane,88.56416772554002,99.87293519695044,100.0,33.54510800508259,77.38246505717916,batch_labelling_results_gpt-4o_20250724_104647.csv
left,100.0,100.0,100.0,0.0,62.5,batch_labelling_results_gpt-4o_20250724_104647.csv
right,60.0,100.0,100.0,0.0,0.0,batch_labelling_results_gpt-4o_20250724_104647.csv
follow_lane,88.69123252858958,99.87293519695044,100.0,34.561626429479034,77.50952986022872,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
left,87.5,100.0,100.0,0.0,37.5,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
right,60.0,100.0,100.0,0.0,40.0,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
follow_lane,92.51269035532995,99.8730964467005,100.0,30.329949238578678,82.99492385786802,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
left,87.5,100.0,100.0,0.0,37.5,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
right,80.0,100.0,100.0,0.0,20.0,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
follow_lane,89.83481575603558,99.87293519695044,100.0,35.19695044472681,75.60355781448538,batch_labelling_results_gpt-4o_20250802_103123.csv
left,87.5,87.5,100.0,0.0,12.5,batch_labelling_results_gpt-4o_20250802_103123.csv
right,60.0,100.0,100.0,0.0,40.0,batch_labelling_results_gpt-4o_20250802_103123.csv
follow_lane,99.74587039390089,100.0,100.0,62.38881829733164,81.8297331639136,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
left,87.5,100.0,100.0,0.0,25.0,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
right,100.0,100.0,100.0,0.0,0.0,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
follow_lane,99.49174078780177,99.87293519695044,100.0,54.129606099110546,79.66963151207116,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
left,87.5,100.0,100.0,0.0,12.5,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
right,100.0,100.0,100.0,0.0,20.0,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
follow_lane,74.84116899618806,91.86785260482846,100.0,32.52858958068615,49.555273189326556,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
left,50.0,100.0,100.0,12.5,50.0,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
right,60.0,80.0,100.0,0.0,20.0,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
