Trajectory_Longitudinal,Safe_Top1,Safe_TopK,MONA_safe,Match_Top1,Match_TopK,file
accelerate,84.40366972477065,99.08256880733946,100.0,15.59633027522936,33.94495412844037,batch_labelling_results_gpt-4o_20250724_104647.csv
decelerate,90.20618556701031,100.0,100.0,43.29896907216495,82.4742268041237,batch_labelling_results_gpt-4o_20250724_104647.csv
keep,88.73239436619718,100.0,100.0,32.796780684104625,83.90342052313883,batch_labelling_results_gpt-4o_20250724_104647.csv
accelerate,84.40366972477065,99.08256880733946,100.0,14.678899082568808,30.275229357798167,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
decelerate,88.14432989690721,100.0,100.0,39.69072164948454,79.89690721649485,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
keep,89.53722334004024,100.0,100.0,36.016096579476866,85.91549295774648,batch_labelling_results_gpt-4o_20250912_123945-rule_False.csv
accelerate,86.23853211009175,99.08256880733946,100.0,16.51376146788991,44.03669724770643,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
decelerate,93.81443298969072,100.0,100.0,45.36082474226804,78.8659793814433,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
keep,93.17269076305222,100.0,100.0,26.706827309236946,91.76706827309236,batch_labelling_results_gpt-4o_20250912_102453-rule_True.csv
accelerate,83.4862385321101,98.1651376146789,100.0,12.844036697247708,31.19266055045872,batch_labelling_results_gpt-4o_20250802_103123.csv
decelerate,91.23711340206185,100.0,100.0,42.2680412371134,80.9278350515464,batch_labelling_results_gpt-4o_20250802_103123.csv
keep,90.3420523138833,100.0,100.0,36.41851106639839,81.89134808853119,batch_labelling_results_gpt-4o_20250802_103123.csv
accelerate,97.24770642201835,100.0,100.0,0.0,41.284403669724774,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
decelerate,100.0,100.0,100.0,0.0,55.670103092783506,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
keep,100.0,100.0,100.0,98.79275653923541,99.19517102615694,batch_labelling_results_ft_gpt-4o-2024-08-06_tum_highd_Bzt14MTi_20250802_122944.csv
accelerate,97.24770642201835,99.08256880733946,100.0,11.009174311926607,42.201834862385326,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
decelerate,100.0,100.0,100.0,1.5463917525773196,65.97938144329896,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
keep,99.59758551307847,100.0,100.0,82.69617706237425,91.54929577464789,batch_labelling_results_qwen3-0.6b-highD_latest_20250802_143223.csv
accelerate,65.13761467889908,90.82568807339449,100.0,6.422018348623854,24.770642201834864,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
decelerate,80.41237113402062,92.78350515463917,100.0,2.5773195876288657,33.50515463917525,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
keep,74.24547283702213,91.75050301810866,100.0,49.29577464788733,60.96579476861167,batch_labelling_results_qwen3-0.6b_latest_20250802_135811.csv
