ScenarioID,EgoID,Prompt,Trajectory_Longitudinal,Trajectory_Lateral
DEU_LocationALower52-1_5210476_T-10500,10881,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 32.2 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 10878: It is driving on the same lane Its velocity is 32.8 m/s, orientation is -0.004 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 10880: It is driving on the right-adjacent lane in the same direction Its velocity is 25.4 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is inf sec.
    - car 10882: It is driving on the same lane Its velocity is 31.7 m/s, orientation is -0.005 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 10884: It is driving on the right-adjacent lane in the same direction Its velocity is 31.6 m/s, orientation is 0.019 rad, steering angle is 0.000 rad, and acceleration is 0.4 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationAUpper52-1_522201_T-2225,10199,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is no right-adjacent lane. 
Your velocity is 32.2 m/s, orientation is -3.139 rad, steering angle is 0.000 rad, and acceleration is -0.3 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 10198: It is driving on the left-adjacent lane in the same direction Its velocity is 33.0 m/s, orientation is 3.122 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s². The time-to-collision is inf sec.
    - car 10201: It is driving on the left-adjacent lane in the same direction Its velocity is 37.0 m/s, orientation is -3.141 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s². The time-to-collision is inf sec.
    - car 10205: It is driving on the left-adjacent lane in the same direction Its velocity is 39.9 m/s, orientation is -3.142 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s². The time-to-collision is inf sec.
",decelerate,follow_lane
DEU_LocationALower31-1_316126_T-6150,10483,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 30.1 m/s, orientation is 0.001 rad, steering angle is 0.000 rad, and acceleration is 0.3 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - truck 10474: It is driving on the right-adjacent lane in the same direction Its velocity is 24.8 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 10478: It is driving on the same lane Its velocity is 31.7 m/s, orientation is 0.001 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is 17.1 sec.
    - car 10482: It is driving on the left-adjacent lane in the same direction Its velocity is 32.3 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.5 m/s². The time-to-collision is inf sec.
    - car 10484: It is driving on the right-adjacent lane in the same direction Its velocity is 23.7 m/s, orientation is 0.002 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is inf sec.
    - car 10485: It is driving on the same lane Its velocity is 27.2 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 10487: It is driving on the left-adjacent lane in the same direction Its velocity is 31.9 m/s, orientation is -0.003 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 10488: It is driving on the left-adjacent lane in the same direction Its velocity is 31.2 m/s, orientation is 0.000 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
",accelerate,follow_lane
DEU_LocationAUpper52-1_5219426_T-19450,11640,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 29.9 m/s, orientation is -3.139 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 11633: It is driving on the same lane Its velocity is 28.7 m/s, orientation is -3.138 rad, steering angle is 0.000 rad, and acceleration is -0.5 m/s². The time-to-collision is 1.6 sec.
    - car 11634: It is driving on the left-adjacent lane in the same direction Its velocity is 31.8 m/s, orientation is -3.137 rad, steering angle is 0.000 rad, and acceleration is -0.3 m/s². The time-to-collision is inf sec.
    - truck 11635: It is driving on the right-adjacent lane in the same direction Its velocity is 24.0 m/s, orientation is -3.133 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s². The time-to-collision is inf sec.
    - car 11636: It is driving on the same lane Its velocity is 29.7 m/s, orientation is 3.140 rad, steering angle is 0.000 rad, and acceleration is -0.5 m/s². The time-to-collision is 0.7 sec.
    - car 11637: It is driving on the left-adjacent lane in the same direction Its velocity is 32.6 m/s, orientation is -3.138 rad, steering angle is 0.000 rad, and acceleration is -0.6 m/s². The time-to-collision is inf sec.
    - car 11639: It is driving on the right-adjacent lane in the same direction Its velocity is 24.4 m/s, orientation is 3.142 rad, steering angle is 0.000 rad, and acceleration is -0.0 m/s². The time-to-collision is inf sec.
    - car 11641: It is driving on the left-adjacent lane in the same direction Its velocity is 33.9 m/s, orientation is 3.139 rad, steering angle is 0.000 rad, and acceleration is -0.5 m/s². The time-to-collision is inf sec.
    - truck 11644: It is driving on the right-adjacent lane in the same direction Its velocity is 24.7 m/s, orientation is -3.134 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 11645: It is driving on the left-adjacent lane in the same direction Its velocity is 34.4 m/s, orientation is -3.139 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s². The time-to-collision is inf sec.
    - car 11647: It is driving on the same lane Its velocity is 30.8 m/s, orientation is -3.139 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 11648: It is driving on the right-adjacent lane in the same direction Its velocity is 24.4 m/s, orientation is -3.133 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is inf sec.
    - car 11649: It is driving on the left-adjacent lane in the same direction Its velocity is 34.4 m/s, orientation is -3.134 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is inf sec.
",decelerate,follow_lane
DEU_LocationALower53-1_538051_T-8075,10681,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
Here is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 37.1 m/s, orientation is -0.003 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 10675: It is driving on the right-adjacent lane in the same direction Its velocity is 33.4 m/s, orientation is -0.003 rad, steering angle is 0.000 rad, and acceleration is 0.3 m/s². The time-to-collision is inf sec.
    - car 10678: It is driving on the right-adjacent lane in the same direction Its velocity is 32.1 m/s, orientation is -0.006 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 10683: It is driving on the right-adjacent lane in the same direction Its velocity is 32.9 m/s, orientation is 0.003 rad, steering angle is 0.000 rad, and acceleration is 0.4 m/s². The time-to-collision is inf sec.
    - car 10687: It is driving on the right-adjacent lane in the same direction Its velocity is 32.7 m/s, orientation is 0.003 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationALower54-1_5419276_T-19300,11704,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is no right-adjacent lane. 
Your velocity is 22.2 m/s, orientation is -0.003 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 11696: It is driving on the left-adjacent lane in the same direction Its velocity is 31.5 m/s, orientation is 0.002 rad, steering angle is 0.000 rad, and acceleration is 0.3 m/s². The time-to-collision is inf sec.
    - truck 11700: It is driving on the same lane Its velocity is 23.7 m/s, orientation is -0.002 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 11701: It is driving on the left-adjacent lane in the same direction Its velocity is 31.2 m/s, orientation is -0.003 rad, steering angle is 0.000 rad, and acceleration is 0.3 m/s². The time-to-collision is inf sec.
    - truck 11711: It is driving on the same lane Its velocity is 24.3 m/s, orientation is 0.002 rad, steering angle is 0.000 rad, and acceleration is -0.4 m/s². The time-to-collision is inf sec.
    - car 11713: It is driving on the left-adjacent lane in the same direction Its velocity is 30.1 m/s, orientation is 0.000 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationAUpper31-1_319601_T-9625,10760,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
Here is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 34.2 m/s, orientation is 3.139 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 10755: It is driving on the right-adjacent lane in the same direction Its velocity is 30.5 m/s, orientation is -3.137 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 10762: It is driving on the same lane Its velocity is 33.6 m/s, orientation is -3.139 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationALower52-1_527451_T-7475,10619,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 29.2 m/s, orientation is 0.001 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 10606: It is driving on the right-adjacent lane in the same direction Its velocity is 26.7 m/s, orientation is -0.001 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - truck 10617: It is driving on the right-adjacent lane in the same direction Its velocity is 26.0 m/s, orientation is 0.004 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - car 10622: It is driving on the same lane Its velocity is 28.9 m/s, orientation is 0.001 rad, steering angle is 0.000 rad, and acceleration is 0.2 m/s². The time-to-collision is inf sec.
    - truck 10624: It is driving on the right-adjacent lane in the same direction Its velocity is 23.6 m/s, orientation is -0.002 rad, steering angle is 0.000 rad, and acceleration is 0.5 m/s². The time-to-collision is inf sec.
    - car 10626: It is driving on the same lane Its velocity is 30.1 m/s, orientation is 0.000 rad, steering angle is 0.000 rad, and acceleration is 0.1 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationAUpper31-1_3125926_T-25950,12095,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
Here is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 33.9 m/s, orientation is -3.140 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - car 12092: It is driving on the right-adjacent lane in the same direction Its velocity is 31.1 m/s, orientation is 3.140 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12099: It is driving on the right-adjacent lane in the same direction Its velocity is 37.5 m/s, orientation is 3.139 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s². The time-to-collision is inf sec.
",keep,follow_lane
DEU_LocationAUpper52-1_5224276_T-24300,12026,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
Here is an overview of your environment:
There is a left-adjacent lane with the same direction. There is no right-adjacent lane. 
Your velocity is 24.0 m/s, orientation is 3.138 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s².
Please adhere to the traffic regulations in Germany:
The maximum speed is 33.3 m/s.
Here is an overview of all relevant obstacles surrounding you:
    - truck 12022: It is driving on the same lane Its velocity is 23.4 m/s, orientation is -3.136 rad, steering angle is 0.000 rad, and acceleration is -0.3 m/s². The time-to-collision is 0.9 sec.
    - truck 12029: It is driving on the left-adjacent lane in the same direction Its velocity is 26.1 m/s, orientation is -3.140 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s². The time-to-collision is inf sec.
    - truck 12030: It is driving on the same lane Its velocity is 24.4 m/s, orientation is -3.140 rad, steering angle is 0.000 rad, and acceleration is -0.1 m/s². The time-to-collision is inf sec.
    - truck 12034: It is driving on the same lane Its velocity is 26.2 m/s, orientation is -3.137 rad, steering angle is 0.000 rad, and acceleration is -0.2 m/s². The time-to-collision is inf sec.
    - car 12035: It is driving on the left-adjacent lane in the same direction Its velocity is 28.5 m/s, orientation is -3.140 rad, steering angle is 0.000 rad, and acceleration is -0.4 m/s². The time-to-collision is inf sec.
",decelerate,follow_lane
